paper_id	canonical_file_id	canonical_title	authors	journal	publication_year	doi	pmid	document_type	duplicate_group_id	bibliographic_status	data_availability_locator	notes
P0011	F0012	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	Elzo de Wit; et al.	Nature Genetics	2020	10.1038/s41588-020-00744-4	NR	research_article	NA	pilot_verified	PDF first page; local PDF full-text scan hit GSE135180	Round7 轻量扩展候选；作者字段待后续补全规范名单
P0012	F0013	CTCF and transcription influence chromatin structure re-configuration after mitosis	Haoyue Zhang; Jessica Lam; Di Zhang; Yemin Lan; Marit W. Vermunt; Cheryl A. Keller; Belinda Giardine; Ross C. Hardison; Gerd A. Blobel	Nature Communications	2021	10.1038/s41467-021-25418-5	34453048	research_article	NA	verified	PDF Data availability; GEO GSE168251	第4轮核验；GEO页面citation给出PMID 34453048
P0013	F0014	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0014	F0015	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0015	F0016	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0016	F0017	Vertebrate centromeres in mitosis are functionally bipartite structures stabilized by cohesin	Carlos Sacristan; Kumiko Samejima; Lorena Andrade Ruiz; ...; Davide Marenduzzo; William C. Earnshaw; Geert J.P.L. Kops	Cell	2024	10.1016/j.cell.2024.04.014	NR	research_article	NA	pilot_verified	PDF first page; local PDF full-text scan hit GSE254182	Round7 轻量扩展候选；题名/DOI由本地 PDF 核验
P0017	F0018	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0018	F0019	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0019	F0020	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0020	F0021	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0021	F0022	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0022	F0023	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0023	F0024	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0024	F0025	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0025	F0026	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0026	F0027	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0027	F0028	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
P0028	F0029	NR	NR	NR	NR	NR	NR	research_article	NA	unverified	NOT_FOUND	仅完成文件级盘点，待逐篇核验
