accession_record_id	experiment_id	sample_timepoint_id	namespace	entity_type	accession	project_accession	study_accession	sample_accession	experiment_accession	run_accession	official_page_url	download_url	file_format	file_size_bytes	md5	format_validation_status	online_verification_status	verification_date	evidence_ids	notes	condition_id	replicate_id	batch_id	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	public_status	query_id	biological_sample_origin_status	library_origin_status	sequencing_generation_status	analysis_usage_status	origin_evidence_ids
AC-P0008-0012	EX-P0008-001	ST-P0008-GEO-003	NCBI BioSample	biosample	SAMN07512587	PRJNA398543	SRP115572	SAMN07512587	SRX3098294	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-003	R-P0008-GEO-003	B-P0008-GEO-003	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0013	EX-P0008-001	ST-P0008-GEO-003	NCBI SRA	sra_experiment	SRX3098294	PRJNA398543	SRP115572	SAMN07512587	SRX3098294	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-003	R-P0008-GEO-003	B-P0008-GEO-003	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0014	EX-P0008-001	ST-P0008-GEO-004	GEO	geo_sample	GSM2745842	PRJNA398543	SRP115572	SAMN07512650	SRX3098295	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745842	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-004	R-P0008-GEO-004	B-P0008-GEO-004	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0015	EX-P0008-001	ST-P0008-GEO-004	NCBI BioSample	biosample	SAMN07512650	PRJNA398543	SRP115572	SAMN07512650	SRX3098295	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-004	R-P0008-GEO-004	B-P0008-GEO-004	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0016	EX-P0008-001	ST-P0008-GEO-004	NCBI SRA	sra_experiment	SRX3098295	PRJNA398543	SRP115572	SAMN07512650	SRX3098295	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-004	R-P0008-GEO-004	B-P0008-GEO-004	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0017	EX-P0008-001	ST-P0008-GEO-005	GEO	geo_sample	GSM2745843	PRJNA398543	SRP115572	SAMN07512649	SRX3098296	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745843	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-005	R-P0008-GEO-005	B-P0008-GEO-005	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0018	EX-P0008-001	ST-P0008-GEO-005	NCBI BioSample	biosample	SAMN07512649	PRJNA398543	SRP115572	SAMN07512649	SRX3098296	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-005	R-P0008-GEO-005	B-P0008-GEO-005	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0019	EX-P0008-001	ST-P0008-GEO-005	NCBI SRA	sra_experiment	SRX3098296	PRJNA398543	SRP115572	SAMN07512649	SRX3098296	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-005	R-P0008-GEO-005	B-P0008-GEO-005	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0020	EX-P0008-001	ST-P0008-GEO-006	GEO	geo_sample	GSM2745844	PRJNA398543	SRP115572	SAMN07512648	SRX3098297	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745844	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-006	R-P0008-GEO-006	B-P0008-GEO-006	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0021	EX-P0008-001	ST-P0008-GEO-006	NCBI BioSample	biosample	SAMN07512648	PRJNA398543	SRP115572	SAMN07512648	SRX3098297	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-006	R-P0008-GEO-006	B-P0008-GEO-006	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0022	EX-P0008-001	ST-P0008-GEO-006	NCBI SRA	sra_experiment	SRX3098297	PRJNA398543	SRP115572	SAMN07512648	SRX3098297	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-006	R-P0008-GEO-006	B-P0008-GEO-006	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0023	EX-P0008-001	ST-P0008-GEO-007	GEO	geo_sample	GSM2745845	PRJNA398543	SRP115572	SAMN07512647	SRX3098298	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745845	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-007	R-P0008-GEO-007	B-P0008-GEO-007	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0024	EX-P0008-001	ST-P0008-GEO-007	NCBI BioSample	biosample	SAMN07512647	PRJNA398543	SRP115572	SAMN07512647	SRX3098298	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-007	R-P0008-GEO-007	B-P0008-GEO-007	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0025	EX-P0008-001	ST-P0008-GEO-007	NCBI SRA	sra_experiment	SRX3098298	PRJNA398543	SRP115572	SAMN07512647	SRX3098298	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-007	R-P0008-GEO-007	B-P0008-GEO-007	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0026	EX-P0008-001	ST-P0008-GEO-008	GEO	geo_sample	GSM2745846	PRJNA398543	SRP115572	SAMN07512646	SRX3098299	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745846	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-008	R-P0008-GEO-008	B-P0008-GEO-008	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0027	EX-P0008-001	ST-P0008-GEO-008	NCBI BioSample	biosample	SAMN07512646	PRJNA398543	SRP115572	SAMN07512646	SRX3098299	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-008	R-P0008-GEO-008	B-P0008-GEO-008	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0028	EX-P0008-001	ST-P0008-GEO-008	NCBI SRA	sra_experiment	SRX3098299	PRJNA398543	SRP115572	SAMN07512646	SRX3098299	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-008	R-P0008-GEO-008	B-P0008-GEO-008	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0029	EX-P0008-001	ST-P0008-GEO-009	GEO	geo_sample	GSM2745847	PRJNA398543	SRP115572	SAMN07512645	SRX3098300	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745847	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-009	R-P0008-GEO-009	B-P0008-GEO-009	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0030	EX-P0008-001	ST-P0008-GEO-009	NCBI BioSample	biosample	SAMN07512645	PRJNA398543	SRP115572	SAMN07512645	SRX3098300	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-009	R-P0008-GEO-009	B-P0008-GEO-009	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0031	EX-P0008-001	ST-P0008-GEO-009	NCBI SRA	sra_experiment	SRX3098300	PRJNA398543	SRP115572	SAMN07512645	SRX3098300	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-009	R-P0008-GEO-009	B-P0008-GEO-009	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0032	EX-P0008-001	ST-P0008-GEO-010	GEO	geo_sample	GSM2745848	PRJNA398543	SRP115572	SAMN07512644	SRX3098301	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745848	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-010	R-P0008-GEO-010	B-P0008-GEO-010	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0033	EX-P0008-001	ST-P0008-GEO-010	NCBI BioSample	biosample	SAMN07512644	PRJNA398543	SRP115572	SAMN07512644	SRX3098301	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-010	R-P0008-GEO-010	B-P0008-GEO-010	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0034	EX-P0008-001	ST-P0008-GEO-010	NCBI SRA	sra_experiment	SRX3098301	PRJNA398543	SRP115572	SAMN07512644	SRX3098301	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-010	R-P0008-GEO-010	B-P0008-GEO-010	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0035	EX-P0008-001	ST-P0008-GEO-011	GEO	geo_sample	GSM2745849	PRJNA398543	SRP115572	SAMN07512643	SRX3098302	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745849	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-011	R-P0008-GEO-011	B-P0008-GEO-011	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0036	EX-P0008-001	ST-P0008-GEO-011	NCBI BioSample	biosample	SAMN07512643	PRJNA398543	SRP115572	SAMN07512643	SRX3098302	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-011	R-P0008-GEO-011	B-P0008-GEO-011	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0037	EX-P0008-001	ST-P0008-GEO-011	NCBI SRA	sra_experiment	SRX3098302	PRJNA398543	SRP115572	SAMN07512643	SRX3098302	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-011	R-P0008-GEO-011	B-P0008-GEO-011	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0038	EX-P0008-001	ST-P0008-GEO-012	GEO	geo_sample	GSM2745850	PRJNA398543	SRP115572	SAMN07512642	SRX3098303	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745850	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-012	R-P0008-GEO-012	B-P0008-GEO-012	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0039	EX-P0008-001	ST-P0008-GEO-012	NCBI BioSample	biosample	SAMN07512642	PRJNA398543	SRP115572	SAMN07512642	SRX3098303	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-012	R-P0008-GEO-012	B-P0008-GEO-012	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0040	EX-P0008-001	ST-P0008-GEO-012	NCBI SRA	sra_experiment	SRX3098303	PRJNA398543	SRP115572	SAMN07512642	SRX3098303	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-012	R-P0008-GEO-012	B-P0008-GEO-012	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0041	EX-P0008-001	ST-P0008-GEO-013	GEO	geo_sample	GSM2745851	PRJNA398543	SRP115572	SAMN07512641	SRX3098304	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745851	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-013	R-P0008-GEO-013	B-P0008-GEO-013	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0042	EX-P0008-001	ST-P0008-GEO-013	NCBI BioSample	biosample	SAMN07512641	PRJNA398543	SRP115572	SAMN07512641	SRX3098304	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-013	R-P0008-GEO-013	B-P0008-GEO-013	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0043	EX-P0008-001	ST-P0008-GEO-013	NCBI SRA	sra_experiment	SRX3098304	PRJNA398543	SRP115572	SAMN07512641	SRX3098304	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-013	R-P0008-GEO-013	B-P0008-GEO-013	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0044	EX-P0008-001	ST-P0008-GEO-014	GEO	geo_sample	GSM2745852	PRJNA398543	SRP115572	SAMN07512640	SRX3098305	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745852	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0045	EX-P0008-001	ST-P0008-GEO-014	NCBI BioSample	biosample	SAMN07512640	PRJNA398543	SRP115572	SAMN07512640	SRX3098305	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0046	EX-P0008-001	ST-P0008-GEO-014	NCBI SRA	sra_experiment	SRX3098305	PRJNA398543	SRP115572	SAMN07512640	SRX3098305	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0047	EX-P0008-001	ST-P0008-GEO-015	GEO	geo_sample	GSM2745853	PRJNA398543	SRP115572	SAMN07512639	SRX3098306	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745853	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-015	R-P0008-GEO-015	B-P0008-GEO-015	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0048	EX-P0008-001	ST-P0008-GEO-015	NCBI BioSample	biosample	SAMN07512639	PRJNA398543	SRP115572	SAMN07512639	SRX3098306	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-015	R-P0008-GEO-015	B-P0008-GEO-015	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0049	EX-P0008-001	ST-P0008-GEO-015	NCBI SRA	sra_experiment	SRX3098306	PRJNA398543	SRP115572	SAMN07512639	SRX3098306	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-015	R-P0008-GEO-015	B-P0008-GEO-015	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0050	EX-P0008-001	ST-P0008-GEO-016	GEO	geo_sample	GSM2745854	PRJNA398543	SRP115572	SAMN07512638	SRX3098307	NA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2745854	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-016	R-P0008-GEO-016	B-P0008-GEO-016	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0051	EX-P0008-001	ST-P0008-GEO-016	NCBI BioSample	biosample	SAMN07512638	PRJNA398543	SRP115572	SAMN07512638	SRX3098307	NA	NA	NA	NA	NA	NA	verified	verified	2026-07-13	E-P0008-008|E-P0008-009	官方快照解析记录	C-P0008-GEO-016	R-P0008-GEO-016	B-P0008-GEO-016	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	NR	public	Q0001|Q0003	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
