batch_id	paper_id	author_batch_label	batch_date	library_batch	sequencing_platform	evidence_ids	verification_status	notes
B-P0008-GEO-013	P0008	2015-10-09	2015-10-09	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-014	P0008	2015-10-09	2015-10-09	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-015	P0008	2015-10-09	2015-10-09	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-016	P0008	2015-10-09	2015-10-09	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-017	P0008	2015-10-09	2015-10-09	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-018	P0008	2015-06-03	2015-06-03	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-019	P0008	2015-06-03	2015-06-03	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-020	P0008	2015-06-03	2015-06-03	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-021	P0008	2015-06-03	2015-06-03	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-022	P0008	2015-06-10	2015-06-10	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-023	P0008	2015-06-10	2015-06-10	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-024	P0008	2015-06-10	2015-06-10	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-025	P0008	2015-06-10	2015-06-10	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-026	P0008	2015-08-12	2015-08-12	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-027	P0008	2015-08-14	2015-08-14	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-028	P0008	2015-08-14	2015-08-14	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-029	P0008	2015-08-14	2015-08-14	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-030	P0008	2015-08-14	2015-08-14	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-031	P0008	2016-07-26	2016-07-26	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-032	P0008	2016-07-26	2016-07-26	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-033	P0008	2016-07-26	2016-07-26	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-034	P0008	2016-07-26	2016-07-26	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-035	P0008	2016-07-26	2016-07-26	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-036	P0008	2016-07-26	2016-07-26	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-037	P0008	2016-07-26	2016-07-26	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-038	P0008	2016-07-14	2016-07-14	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-039	P0008	2016-07-14	2016-07-14	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-040	P0008	2016-07-14	2016-07-14	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-041	P0008	2016-07-14	2016-07-14	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-042	P0008	2016-07-14	2016-07-14	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-043	P0008	2016-07-14	2016-07-14	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-044	P0008	2016-07-14	2016-07-14	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-045	P0008	2016-09-19	2016-09-19	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-046	P0008	2016-09-19	2016-09-19	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-047	P0008	2016-09-19	2016-09-19	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-048	P0008	2016-09-19	2016-09-19	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-049	P0008	2016-09-19	2016-09-19	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-050	P0008	2016-09-19	2016-09-19	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-051	P0008	2016-09-19	2016-09-19	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-052	P0008	2016-08-30	2016-08-30	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-053	P0008	2016-08-30	2016-08-30	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-054	P0008	2016-08-30	2016-08-30	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-055	P0008	2016-08-30	2016-08-30	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-056	P0008	2016-08-30	2016-08-30	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-057	P0008	2016-08-30	2016-08-30	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-058	P0008	2016-08-30	2016-08-30	NR	Illumina HiSeq 4000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-059	P0008	NR	NR	NR	Illumina HiSeq 2000	E-P0008-008|E-P0008-011	unresolved	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-060	P0008	NR	NR	NR	Illumina HiSeq 2000	E-P0008-008|E-P0008-011	unresolved	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0009-001	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-002	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-003	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-004	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-005	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-006	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-007	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-008	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-009	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-010	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-011	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-012	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-013	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-014	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-015	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-016	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-017	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-018	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-019	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-020	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-021	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-022	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-023	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-024	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-025	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-026	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-027	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-028	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-029	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-030	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-031	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-032	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-033	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-034	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-035	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-036	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-037	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-038	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-039	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-040	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-041	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-042	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-043	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-044	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-045	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-046	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-047	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-048	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-049	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-050	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-051	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-052	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-053	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-054	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-055	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-056	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-057	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-058	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-059	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-060	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-061	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-062	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-063	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-064	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-065	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-066	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-067	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-068	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-069	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-070	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-071	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-072	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-073	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-074	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0009-075	P0009	NR	NR	NR	NextSeq 500	E-P0009-004|E-P0009-005	unresolved	Official records identify instrument model but not a per-GSM library batch label.
B-P0012-001	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-002	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-003	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-004	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-005	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-006	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-007	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-008	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-009	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-010	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-011	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-012	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-013	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-014	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-015	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-016	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-017	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-018	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-019	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-020	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-021	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-022	P0012	GSE168168	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-023	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-024	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-025	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-026	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-027	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-028	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-029	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-030	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-031	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-032	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-033	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-034	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
B-P0012-035	P0012	GSE168176	NR	NR	NextSeq 500	E-P0012-004	verified_metadata_record	subseries used as a coarse source partition, not a laboratory batch claim.
