replicate_id	condition_id	author_replicate_label	replicate_type	replicate_number	evidence_ids	notes
R-P0008-GEO-012	C-P0008-GEO-012	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-013	C-P0008-GEO-013	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-014	C-P0008-GEO-014	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-015	C-P0008-GEO-015	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-016	C-P0008-GEO-016	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-017	C-P0008-GEO-017	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-018	C-P0008-GEO-018	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-019	C-P0008-GEO-019	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-020	C-P0008-GEO-020	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-021	C-P0008-GEO-021	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-022	C-P0008-GEO-022	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-023	C-P0008-GEO-023	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-024	C-P0008-GEO-024	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-025	C-P0008-GEO-025	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-026	C-P0008-GEO-026	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-027	C-P0008-GEO-027	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-028	C-P0008-GEO-028	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-029	C-P0008-GEO-029	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-030	C-P0008-GEO-030	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-031	C-P0008-GEO-031	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-032	C-P0008-GEO-032	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-033	C-P0008-GEO-033	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-034	C-P0008-GEO-034	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-035	C-P0008-GEO-035	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-036	C-P0008-GEO-036	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-037	C-P0008-GEO-037	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-038	C-P0008-GEO-038	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-039	C-P0008-GEO-039	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-040	C-P0008-GEO-040	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-041	C-P0008-GEO-041	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-042	C-P0008-GEO-042	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-043	C-P0008-GEO-043	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-044	C-P0008-GEO-044	R1	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-045	C-P0008-GEO-045	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-046	C-P0008-GEO-046	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-047	C-P0008-GEO-047	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-048	C-P0008-GEO-048	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-049	C-P0008-GEO-049	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-050	C-P0008-GEO-050	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-051	C-P0008-GEO-051	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-052	C-P0008-GEO-052	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-053	C-P0008-GEO-053	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-054	C-P0008-GEO-054	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-055	C-P0008-GEO-055	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-056	C-P0008-GEO-056	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-057	C-P0008-GEO-057	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-058	C-P0008-GEO-058	R2	UNRESOLVED	NR	E-P0008-008	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-059	C-P0008-GEO-059	NR	UNRESOLVED	NR	E-P0008-008|E-P0008-011	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0008-GEO-060	C-P0008-GEO-060	NR	UNRESOLVED	NR	E-P0008-008|E-P0008-011	R1/R2仅保存作者alias；生物/技术重复类型未裁决
R-P0009-001	C-P0009-001	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-002	C-P0009-002	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-003	C-P0009-003	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-004	C-P0009-004	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-005	C-P0009-005	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-006	C-P0009-006	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-007	C-P0009-007	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-008	C-P0009-008	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-009	C-P0009-009	rep3	UNRESOLVED	3	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-010	C-P0009-010	rep3	UNRESOLVED	3	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-011	C-P0009-011	rep3	UNRESOLVED	3	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-012	C-P0009-012	rep3	UNRESOLVED	3	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-013	C-P0009-013	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-014	C-P0009-014	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-015	C-P0009-015	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-016	C-P0009-016	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-017	C-P0009-017	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-018	C-P0009-018	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-019	C-P0009-019	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-020	C-P0009-020	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-021	C-P0009-021	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-022	C-P0009-022	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-023	C-P0009-023	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-024	C-P0009-024	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-025	C-P0009-025	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-026	C-P0009-026	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-027	C-P0009-027	rep3	UNRESOLVED	3	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-028	C-P0009-028	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-029	C-P0009-029	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-030	C-P0009-030	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-031	C-P0009-031	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-032	C-P0009-032	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-033	C-P0009-033	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-034	C-P0009-034	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-035	C-P0009-035	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-036	C-P0009-036	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-037	C-P0009-037	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-038	C-P0009-038	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-039	C-P0009-039	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-040	C-P0009-040	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-041	C-P0009-041	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-042	C-P0009-042	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-043	C-P0009-043	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-044	C-P0009-044	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-045	C-P0009-045	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-046	C-P0009-046	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-047	C-P0009-047	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-048	C-P0009-048	NR	NR	NR	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-049	C-P0009-049	NR	NR	NR	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-050	C-P0009-050	NR	NR	NR	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-051	C-P0009-051	NR	NR	NR	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-052	C-P0009-052	NR	NR	NR	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-053	C-P0009-053	NR	NR	NR	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-054	C-P0009-054	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-055	C-P0009-055	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-056	C-P0009-056	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-057	C-P0009-057	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-058	C-P0009-058	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-059	C-P0009-059	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-060	C-P0009-060	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-061	C-P0009-061	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-062	C-P0009-062	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-063	C-P0009-063	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-064	C-P0009-064	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-065	C-P0009-065	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-066	C-P0009-066	rep3	UNRESOLVED	3	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-067	C-P0009-067	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-068	C-P0009-068	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-069	C-P0009-069	rep3	UNRESOLVED	3	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-070	C-P0009-070	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-071	C-P0009-071	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-072	C-P0009-072	rep3	UNRESOLVED	3	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-073	C-P0009-073	rep1	UNRESOLVED	1	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-074	C-P0009-074	rep2	UNRESOLVED	2	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0009-075	C-P0009-075	rep3	UNRESOLVED	3	E-P0009-003|E-P0009-001	rep labels are preserved from GEO titles; biological versus technical replicate type is not explicitly declared per GSM.
R-P0012-001	C-P0012-001	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-002	C-P0012-002	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-003	C-P0012-003	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-004	C-P0012-004	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-005	C-P0012-005	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-006	C-P0012-006	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-007	C-P0012-007	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-008	C-P0012-008	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-009	C-P0012-009	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-010	C-P0012-010	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-011	C-P0012-011	rep3	UNRESOLVED	3	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-012	C-P0012-012	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-013	C-P0012-013	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-014	C-P0012-014	rep3	UNRESOLVED	3	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-015	C-P0012-015	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-016	C-P0012-016	rep3	UNRESOLVED	3	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-017	C-P0012-017	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-018	C-P0012-018	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-019	C-P0012-019	NR	NR	NR	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-020	C-P0012-020	NR	NR	NR	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-021	C-P0012-021	NR	NR	NR	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-022	C-P0012-022	NR	NR	NR	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-023	C-P0012-023	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-024	C-P0012-024	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-025	C-P0012-025	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-026	C-P0012-026	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-027	C-P0012-027	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-028	C-P0012-028	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-029	C-P0012-029	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-030	C-P0012-030	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-031	C-P0012-031	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-032	C-P0012-032	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-033	C-P0012-033	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-034	C-P0012-034	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-035	C-P0012-035	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-036	C-P0012-036	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
